video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,channel_id,channelTitle
rt0uNjjBya4,Ready for the Mathematics for Machine Learning and Data Science Specialization? 🚀,2023-01-31T16:13:22Z,13477,365,15,PT1M21S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
kkWRbIb42Ms,Explanation For Vectorized Implementation (C1W3L05),2017-08-25T20:22:44Z,53591,338,12,PT7M38S,hd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
-_4Zi8fCZO4,Understanding Mini-Batch Gradient Dexcent (C2W2L02),2017-08-25T20:22:31Z,60277,626,32,PT11M19S,hd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
zg26t-BH7ao,Improving Model Performance (C3W1L12),2017-08-25T20:23:16Z,18223,153,10,PT6M21S,sd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
quoGRI-1l0A,C5W3L08 Attention Model,2018-02-05T19:50:16Z,155101,1589,53,PT12M23S,hd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
yslMo3hSbqE,Getting Matrix Dimensions Right (C1W4L03),2017-08-25T20:22:44Z,40366,380,12,PT11M10S,sd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
y7RfAwltHTw,Heroes of Deep Learning: Pieter Abbeel and Andrej Karpathy on Getting Started,2020-02-03T20:04:32Z,3862,73,2,PT1M27S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
UHFTY0B718s,"Evaluating and Debugging Generative AI, Now Available!",2023-08-02T07:34:27Z,5308,162,11,PT1M56S,hd,,en,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
P7_jFxTtJEo,Derivatives Of Activation Functions (C1W3L08),2017-08-25T20:22:46Z,58596,468,12,PT7M58S,hd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
7bLEWDZng_M,Gradient Descent For Neural Networks (C1W3L09),2017-08-25T20:22:44Z,74216,527,30,PT9M58S,hd,,en-US,False,UCcIXc5mJsHVYTZR1maL5l9w,DeepLearningAI
