Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
UgxbYWt-5uI47nr8zCt4AaABAg.9HdA6iG_0aI9HdAUxIrqia,@DataProfessor,UgxbYWt-5uI47nr8zCt4AaABAg,2,NRnaMCNOK7Y,0,1,2020-12-24T04:12:53Z,"Yes, absolutely 😊",2020-12-24T04:12:53Z
UgxbYWt-5uI47nr8zCt4AaABAg.9HdA6iG_0aI9HdDavpp-aY,@salikmalik7631,UgxbYWt-5uI47nr8zCt4AaABAg,2,NRnaMCNOK7Y,0,1,2020-12-24T04:40:03Z,@@DataProfessor Thanks. I hope you remember me salik malik. :D,2020-12-24T04:40:03Z
UgxbYWt-5uI47nr8zCt4AaABAg.9HdA6iG_0aI9HdFHQyqCkx,@DataProfessor,UgxbYWt-5uI47nr8zCt4AaABAg,2,NRnaMCNOK7Y,0,0,2020-12-24T04:54:43Z,"@@salikmalik7631 Yes, of course!",2020-12-24T04:54:43Z
UgxgXiGCFFH__LEbSbd4AaABAg,@SergioArroyoSailing,,1,NRnaMCNOK7Y,1,1,2020-12-23T22:34:24Z,Thanks so much !,2020-12-23T22:34:24Z
UgxgXiGCFFH__LEbSbd4AaABAg.9HcZkrEbvcN9HcoxdFRQx9,@DataProfessor,UgxgXiGCFFH__LEbSbd4AaABAg,2,NRnaMCNOK7Y,0,0,2020-12-24T00:55:57Z,"A pleasure, thanks for watching!",2020-12-24T00:55:57Z
UgzNb8EehSVsSdK8QB14AaABAg,@AndrewMoMoney,,1,NRnaMCNOK7Y,1,4,2020-12-23T18:44:07Z,This is THE video for ML roadmapping,2020-12-23T18:44:07Z
UgzNb8EehSVsSdK8QB14AaABAg.9Hc9PEQ8AeQ9HcpRMan4o3,@DataProfessor,UgzNb8EehSVsSdK8QB14AaABAg,2,NRnaMCNOK7Y,0,0,2020-12-24T01:00:09Z,Thanks Andrew for dropping by. Loving the daily videos on your channel!,2020-12-24T01:00:09Z
UgxYsxIT3p4qxRlm-nJ4AaABAg,@DevsLikeUs,,1,NRnaMCNOK7Y,1,2,2020-12-23T18:39:07Z,"Love this delivery style, thanks!",2020-12-23T18:39:07Z
UgxYsxIT3p4qxRlm-nJ4AaABAg.9Hc8p_6n4e59HcuTNjW5v7,@DataProfessor,UgxYsxIT3p4qxRlm-nJ4AaABAg,2,NRnaMCNOK7Y,0,0,2020-12-24T01:44:07Z,"Awesome, thanks for your valuable feedback!",2020-12-24T01:44:07Z
Ugw31-lP66B8Cf8LbmR4AaABAg,@faheemahmad3957,,1,TU3koPyFZfw,0,0,2022-10-07T12:06:02Z,Find a good paper and run code.  pleas help me,2022-10-07T12:06:02Z
Ugxty9by6CHuIxomZxh4AaABAg,@amruthgadag4813,,1,TU3koPyFZfw,0,0,2022-08-10T07:35:58Z,Thank you very much that was really helpful. I got two papers with specific code. Thanks again.,2022-08-10T07:35:58Z
Ugw6FNcpF2CqV4V2UcJ4AaABAg,@seoseo7406,,1,TU3koPyFZfw,0,0,2022-06-07T11:06:27Z,"Appreciate your content for providing these resources and teaching how to do, I&#39;m currently in master&#39;s AI pursuing drug discovery but the uni doesn&#39;t teach us these",2022-06-07T11:06:27Z
UgzW-JWc35JYE6FGQC94AaABAg,@ragavanveerarajan7678,,1,TU3koPyFZfw,0,0,2022-01-21T05:12:50Z,sir how to implement the code part from papers with code papers,2022-01-21T05:12:50Z
UgxjtzoNCn8sEXtaaEt4AaABAg,@mamoon72,,1,TU3koPyFZfw,1,1,2021-04-15T12:32:53Z,"Can we download datasets from the same website? if yes, How?",2021-04-15T12:32:53Z
UgxjtzoNCn8sEXtaaEt4AaABAg.9M9Sk7PNrEY9MBjQcRCDn6,@DataProfessor,UgxjtzoNCn8sEXtaaEt4AaABAg,2,TU3koPyFZfw,0,0,2021-04-16T09:45:51Z,The datasets and codes mentioned on the website is actually linked to the original source which means if you click on it you can either go to the homepage of the developer or to GitHub repo.,2021-04-16T09:45:51Z
UgzIqB3p6SC9riKQvgh4AaABAg,@paulntalo1425,,1,TU3koPyFZfw,1,3,2021-04-06T13:22:29Z,I have come to learn that it&#39;s only a great idea to solve ML and AI problems basing on world class papers with code. This video and link revealed is a great asset to my everyday life now therefore as a data scientist. Thank You Professor,2021-04-06T13:22:29Z
UgzIqB3p6SC9riKQvgh4AaABAg.9LnNGWb3UVq9Ln_0ELuBwV,@DataProfessor,UgzIqB3p6SC9riKQvgh4AaABAg,2,TU3koPyFZfw,0,1,2021-04-06T15:13:51Z,"Thanks Paul for watching, Glad it was helpful! Yes implementing models from paper is a great way of learning, particularly when the code is available for you to tinker around with, Papers with code is a great resource for that.",2021-04-06T15:13:51Z
Ugy_KlBfIcaW_kuBEd94AaABAg,@basilihuoma5300,,1,TU3koPyFZfw,1,1,2020-07-09T16:20:13Z,Great stuff. Thanks.,2020-07-09T16:20:13Z
Ugy_KlBfIcaW_kuBEd94AaABAg.9AttB5kZJ4E9Atv1OcT0CO,@DataProfessor,Ugy_KlBfIcaW_kuBEd94AaABAg,2,TU3koPyFZfw,0,1,2020-07-09T16:36:22Z,Thanks for the kind words 😃,2020-07-09T16:36:22Z
UgwArtUgRPLX2ga21g14AaABAg,@shwetaredkar734,,1,TU3koPyFZfw,2,1,2020-06-03T09:21:37Z,Baamm!!  was looking for this. To learn data science is to do data science really makes sense now. :). Thank you for the awesome and interesting content.,2020-06-03T09:21:37Z
UgwArtUgRPLX2ga21g14AaABAg.99RReeTibGa99Rd0eZP3tE,@DataProfessor,UgwArtUgRPLX2ga21g14AaABAg,2,TU3koPyFZfw,0,1,2020-06-03T11:09:36Z,Thanks for the kind words! Sounded like Josh from Stat Quest 😃,2020-06-03T11:09:36Z
UgwArtUgRPLX2ga21g14AaABAg.99RReeTibGa99RmYYWqdLg,@shwetaredkar734,UgwArtUgRPLX2ga21g14AaABAg,2,TU3koPyFZfw,0,0,2020-06-03T12:32:52Z,@@DataProfessor Haha. Yea.,2020-06-03T12:32:52Z
Ugz0zcI7Xwt73goMi7t4AaABAg,@IntroToDataScience,,1,TU3koPyFZfw,1,2,2020-06-02T05:17:45Z,"@Data Professor  Could we have e a video on how  the great companies like Google, Microsoft, Amazon etc use Data Analysis to enhance their business performances...it will be very helpful for beginners and get a general view how actually the data science works...",2020-06-02T05:17:45Z
Ugz0zcI7Xwt73goMi7t4AaABAg.99OQxg4pp-W99OfOlks2y9,@DataProfessor,Ugz0zcI7Xwt73goMi7t4AaABAg,2,TU3koPyFZfw,0,1,2020-06-02T07:32:39Z,Thank you Gulab for the suggestion! I&#39;ll definitely look into this.,2020-06-02T07:32:39Z
UgzitCgjKP32DrcC3RF4AaABAg,@fahadreda3060,,1,TU3koPyFZfw,1,1,2020-06-01T15:29:54Z,"Great video man ,Thanks 👍👍",2020-06-01T15:29:54Z
